,City,Date,lat,lon,AQI,CO,NO,NO2,O3,SO2,PM25,PM10,NH3,Population,Year,Month,Day,Hour,Minute
396,Froid ,1626958800,48.34,-104.49,2,193.6,0.07,3.0,34.33,1.16,11.31,13.6,1.22,,2021,7,22,13,0
397,Fromberg ,1626958800,45.39,-108.91,2,236.99,0.03,3.09,22.89,0.01,17.49,19.01,5.7,,2021,7,22,13,0
398,Gallatin Gateway,1626958800,45.59,-111.2,2,181.91,0.01,1.63,20.03,0.01,10.56,11.38,3.86,,2021,7,22,13,0
399,Gallatin River Ranch,1626958800,45.91,-111.33,2,216.96,0.06,4.63,15.56,0.01,14.5,15.02,2.66,,2021,7,22,13,0
400,Gardiner,1626958800,45.06,-110.74,2,163.56,0.05,1.5,7.78,0.0,17.98,18.9,0.81,,2021,7,22,13,0
401,Garrison,1626958800,46.53,-112.82,2,236.99,0.0,1.41,71.53,0.11,14.98,15.52,1.35,,2021,7,22,13,0
402,Geraldine ,1626958800,47.6,-110.27,2,293.73,0.01,2.59,52.21,0.04,16.25,22.73,2.82,,2021,7,22,13,0
403,Geyser,1626958800,47.26,-110.49,2,273.71,0.01,1.41,54.36,0.01,14.13,14.34,1.46,,2021,7,22,13,0
404,Gibson Flats,1626958800,47.47,-111.24,2,250.34,0.09,6.43,20.56,0.01,16.17,16.5,3.71,,2021,7,22,13,0
405,Gildford,1626958800,48.58,-110.27,2,236.99,0.0,0.84,87.98,0.12,8.98,10.06,1.24,,2021,7,22,13,0
406,Glasgow ,1626958800,48.2,-106.63,2,220.3,0.01,1.22,68.67,0.27,12.51,13.43,2.53,,2021,7,22,13,0
407,Glendive ,1626958800,47.11,-104.71,2,201.94,0.09,4.46,39.7,0.1,10.88,12.96,2.95,,2021,7,22,13,0
408,Grass Range ,1626958800,47.03,-108.8,1,223.64,0.02,1.48,33.26,0.02,7.15,7.56,4.5,,2021,7,22,13,0
409,Great Falls ,1626958800,47.5,-111.3,2,250.34,0.09,6.43,20.56,0.01,16.17,16.5,3.71,,2021,7,22,13,0
410,Greycliff,1626958800,45.76,-109.78,2,208.62,0.09,4.33,15.91,0.01,12.31,13.07,5.0,,2021,7,22,13,0
411,Hamilton ,1626958800,46.25,-114.16,2,183.58,0.01,1.71,25.75,0.02,11.65,11.89,0.67,,2021,7,22,13,0
412,Happys Inn,1626958800,48.06,-115.14,1,160.22,0.05,1.41,13.41,0.01,2.58,2.79,0.15,,2021,7,22,13,0
413,Hardin ,1626958800,45.74,-107.61,2,243.66,0.22,5.91,11.98,0.02,12.64,13.53,6.14,,2021,7,22,13,0
414,Harlem ,1626958800,48.53,-108.78,3,283.72,0.08,5.44,27.54,0.02,23.97,24.61,6.02,,2021,7,22,13,0
415,Harlowton ,1626958800,46.44,-109.83,2,253.68,0.01,1.76,41.13,0.02,12.64,12.99,3.45,,2021,7,22,13,0
416,Harrison,1626958800,45.7,-111.79,2,203.61,0.04,6.17,23.96,0.02,11.28,12.08,7.6,,2021,7,22,13,0
417,Havre ,1626958800,48.54,-109.67,2,277.04,0.01,1.41,78.68,0.05,13.19,17.85,2.0,,2021,7,22,13,0
418,Havre North,1626958800,48.56,-109.67,2,277.04,0.01,1.41,78.68,0.05,13.19,17.85,2.0,,2021,7,22,13,0
419,Hays,1626958800,48.01,-108.66,3,287.06,0.02,1.71,40.41,0.02,22.87,23.62,4.18,,2021,7,22,13,0
420,Heart Butte,1626958800,48.29,-112.84,2,193.6,0.0,0.47,89.41,0.14,4.85,5.03,0.44,,2021,7,22,13,0
421,Hebgen Lake Estates,1626958800,44.77,-111.19,3,223.64,0.01,2.29,38.62,0.02,23.33,24.54,2.31,,2021,7,22,13,0
422,Helena ,1626958800,46.6,-112.02,2,230.31,0.0,1.16,65.8,0.05,13.5,13.9,1.19,,2021,7,22,13,0
423,Helena Flats,1626958800,48.29,-114.24,1,168.56,0.07,2.27,19.31,0.01,2.46,2.68,0.39,,2021,7,22,13,0
424,Helena Valley Northeast,1626958800,46.7,-111.95,2,240.33,0.01,3.68,47.21,0.03,15.24,15.68,2.28,,2021,7,22,13,0
425,Helena Valley Northwest,1626958800,46.73,-112.06,2,230.31,0.0,1.16,65.8,0.05,13.5,13.9,1.19,,2021,7,22,13,0
426,Helena Valley Southeast,1626958800,46.62,-111.92,2,240.33,0.01,3.68,47.21,0.03,15.24,15.68,2.28,,2021,7,22,13,0
427,Helena Valley West Central,1626958800,46.66,-112.06,2,230.31,0.0,1.16,65.8,0.05,13.5,13.9,1.19,,2021,7,22,13,0
428,Helena West Side,1626958800,46.6,-112.11,2,230.31,0.0,1.16,65.8,0.05,13.5,13.9,1.19,,2021,7,22,13,0
429,Heron,1626958800,48.06,-115.98,1,151.87,0.02,1.89,19.85,0.04,3.04,3.56,1.31,,2021,7,22,13,0
430,Herron,1626958800,48.53,-109.77,2,277.04,0.01,1.41,78.68,0.05,13.19,17.85,2.0,,2021,7,22,13,0
431,Highwood,1626958800,47.6,-110.77,2,273.71,0.02,3.9,41.13,0.03,16.02,23.57,3.2,,2021,7,22,13,0
432,Hingham ,1626958800,48.56,-110.42,2,226.97,0.0,0.84,84.4,0.11,8.44,9.65,1.24,,2021,7,22,13,0
433,Hinsdale,1626958800,48.4,-107.06,3,250.34,0.01,1.09,70.81,0.29,23.01,31.48,2.88,,2021,7,22,13,0
434,Hobson ,1626958800,47.0,-109.87,2,257.02,0.01,1.13,62.94,0.04,12.7,13.09,2.06,,2021,7,22,13,0
435,Hot Springs ,1626958800,47.61,-114.67,1,170.23,0.01,1.13,26.82,0.03,5.9,6.07,0.25,,2021,7,22,13,0
436,Hungry Horse,1626958800,48.38,-114.06,1,165.22,0.22,3.17,9.12,0.03,3.14,3.29,0.31,,2021,7,22,13,0
437,Huntley,1626958800,45.9,-108.31,2,273.71,0.11,9.85,24.32,0.81,12.28,12.83,7.28,,2021,7,22,13,0
438,Huson,1626958800,47.03,-114.34,1,178.58,0.02,3.3,24.32,0.03,8.27,8.53,1.2,,2021,7,22,13,0
439,Hysham ,1626958800,46.29,-107.23,2,250.34,0.04,3.64,31.83,0.18,15.83,24.07,3.52,,2021,7,22,13,0
440,Indian Springs,1626958800,48.95,-115.04,1,176.91,0.02,1.36,31.83,0.12,2.58,2.76,0.14,,2021,7,22,13,0
441,Inverness,1626958800,48.56,-110.71,2,220.3,0.0,0.88,83.69,0.11,7.81,8.52,1.24,,2021,7,22,13,0
442,Ismay ,1626958800,46.5,-104.79,2,226.97,0.02,1.46,60.8,0.4,13.48,14.91,3.07,,2021,7,22,13,0
443,Jardine,1626958800,45.06,-110.62,2,163.56,0.05,1.5,7.78,0.0,17.98,18.9,0.81,,2021,7,22,13,0
444,Jefferson ,1626958800,46.38,-112.03,2,236.99,0.0,0.85,54.36,0.03,15.97,16.44,0.19,,2021,7,22,13,0
445,Jette,1626958800,47.72,-114.19,1,191.93,0.03,3.73,21.99,0.17,9.62,9.79,3.77,,2021,7,22,13,0
446,Joliet ,1626958800,45.48,-108.97,2,223.64,0.09,3.98,11.8,0.01,14.75,15.63,4.31,,2021,7,22,13,0
447,Joplin,1626958800,48.56,-110.77,2,220.3,0.0,0.88,83.69,0.11,7.81,8.52,1.24,,2021,7,22,13,0
448,Jordan ,1626958800,47.32,-106.91,3,247.0,0.01,1.05,79.39,0.34,23.11,29.3,3.07,,2021,7,22,13,0
449,Judith Gap ,1626958800,46.68,-109.75,2,260.35,0.04,4.03,32.9,0.02,14.72,14.99,5.19,,2021,7,22,13,0
450,Kalispell ,1626958800,48.22,-114.33,1,168.56,0.07,2.27,19.31,0.01,2.46,2.68,0.39,,2021,7,22,13,0
451,Kerr,1626958800,47.68,-114.19,1,191.93,0.03,3.73,21.99,0.17,9.62,9.79,3.77,,2021,7,22,13,0
452,Kevin ,1626958800,48.75,-111.97,2,201.94,0.0,0.71,86.55,0.16,5.38,5.56,0.89,,2021,7,22,13,0
453,Kicking Horse,1626958800,47.46,-114.07,1,191.93,0.01,2.79,33.62,0.06,6.21,6.37,2.79,,2021,7,22,13,0
454,Kila,1626958800,48.12,-114.48,1,190.26,0.01,0.87,62.23,0.05,3.24,3.58,0.24,,2021,7,22,13,0
455,King Arthur Park,1626958800,45.67,-111.13,2,196.93,0.26,6.0,8.94,0.03,12.38,13.12,5.32,,2021,7,22,13,0
456,Kings Point,1626958800,47.76,-114.15,1,191.93,0.03,3.73,21.99,0.17,9.62,9.79,3.77,,2021,7,22,13,0
457,Klein,1626958800,46.4,-108.55,1,226.97,0.02,2.74,29.68,0.03,8.78,10.12,4.62,,2021,7,22,13,0
458,Knife River,1626958800,47.45,-104.35,2,191.93,0.07,2.59,30.4,0.37,12.02,14.52,1.43,,2021,7,22,13,0
459,Kremlin,1626958800,48.57,-110.09,2,243.66,0.0,0.9,86.55,0.11,9.53,10.69,1.31,,2021,7,22,13,0
460,Lake Mary Ronan,1626958800,47.93,-114.39,1,188.59,0.02,1.63,31.47,0.03,5.48,5.72,0.43,,2021,7,22,13,0
461,Lakeside,1626958800,48.02,-114.23,1,191.93,0.04,2.49,34.69,0.03,3.48,3.74,0.7,,2021,7,22,13,0
462,Lame Deer,1626958800,45.62,-106.61,2,250.34,0.01,1.07,56.51,0.26,14.51,15.73,2.85,,2021,7,22,13,0
463,Laurel ,1626958800,45.67,-108.77,2,250.34,0.03,5.83,22.17,0.07,11.13,11.86,9.5,,2021,7,22,13,0
464,Lavina ,1626958800,46.3,-108.94,1,243.66,0.03,4.11,40.05,0.05,8.01,9.25,5.0,,2021,7,22,13,0
465,Lewis ,1626958800,47.05,-109.45,2,273.71,0.02,3.13,46.49,0.02,15.97,16.21,3.04,,2021,7,22,13,0
466,Lewis Heights,1626958800,47.08,-109.47,2,273.71,0.02,3.13,46.49,0.02,15.97,16.21,3.04,,2021,7,22,13,0
467,Libby ,1626958800,48.39,-115.56,1,168.56,0.08,3.0,16.09,0.03,2.64,2.98,0.34,,2021,7,22,13,0
468,Lima ,1626958800,44.64,-112.59,4,280.38,0.02,8.05,45.78,0.08,25.33,26.64,14.06,,2021,7,22,13,0
469,Lincoln,1626958800,46.95,-112.67,2,191.93,0.02,1.39,17.7,0.01,14.55,14.94,0.48,,2021,7,22,13,0
470,Lindisfarne,1626958800,47.8,-114.21,1,195.27,0.02,3.0,25.39,0.03,9.19,9.32,6.65,,2021,7,22,13,0
471,Little Bitterroot Lake,1626958800,48.12,-114.72,1,191.93,0.01,0.95,64.37,0.06,3.02,3.41,0.27,,2021,7,22,13,0
472,Little Browning,1626958800,48.63,-112.35,2,205.28,0.0,0.83,88.69,0.16,4.56,4.74,1.03,,2021,7,22,13,0
473,Livingston ,1626958800,45.67,-110.55,2,193.6,0.05,3.81,18.06,0.01,11.75,12.34,3.07,,2021,7,22,13,0
474,Lockwood,1626958800,45.82,-108.41,2,273.71,0.03,6.68,30.4,0.24,11.98,12.47,6.71,,2021,7,22,13,0
475,Lodge Grass ,1626958800,45.31,-107.37,2,263.69,0.02,2.87,42.92,0.05,18.96,20.27,2.76,,2021,7,22,13,0
476,Lodge Pole,1626958800,48.03,-108.55,2,273.71,0.02,1.46,42.2,0.02,19.7,20.51,4.12,,2021,7,22,13,0
477,Logan,1626958800,45.88,-111.42,2,253.68,0.02,4.63,31.47,0.02,17.06,17.5,5.19,,2021,7,22,13,0
478,Lolo,1626958800,46.78,-114.1,2,185.25,0.02,1.99,19.67,0.02,14.14,14.49,0.38,,2021,7,22,13,0
479,Loma,1626958800,47.95,-110.49,2,243.66,0.0,1.34,65.09,0.06,12.39,18.93,1.88,,2021,7,22,13,0
480,Lonepine,1626958800,47.69,-114.64,1,170.23,0.01,1.13,26.82,0.03,5.9,6.07,0.25,,2021,7,22,13,0
481,Malmstrom AFB,1626958800,47.51,-111.18,2,270.37,0.06,6.34,26.11,0.09,17.19,17.73,3.64,,2021,7,22,13,0
482,Malta ,1626958800,48.36,-107.87,4,277.04,0.07,3.47,26.82,0.03,27.32,35.34,4.43,,2021,7,22,13,0
483,Manhattan ,1626958800,45.86,-111.33,2,216.96,0.06,4.63,15.56,0.01,14.5,15.02,2.66,,2021,7,22,13,0
484,Marion,1626958800,48.09,-114.67,1,191.93,0.01,0.95,64.37,0.06,3.02,3.41,0.27,,2021,7,22,13,0
485,Martin ,1626958800,48.39,-114.03,1,165.22,0.22,3.17,9.12,0.03,3.14,3.29,0.31,,2021,7,22,13,0
486,Martinsdale,1626958800,46.45,-110.31,2,236.99,0.0,0.91,52.21,0.02,12.38,12.83,0.97,,2021,7,22,13,0
487,Marysville,1626958800,46.75,-112.3,2,226.97,0.0,0.68,70.81,0.06,13.53,13.94,0.59,,2021,7,22,13,0
488,Maxville,1626958800,46.48,-113.24,2,208.62,0.01,1.99,32.19,0.03,15.1,15.71,3.64,,2021,7,22,13,0
489,Medicine Lake ,1626958800,48.5,-104.5,2,188.59,0.12,2.79,18.95,0.32,10.11,12.13,1.27,,2021,7,22,13,0
490,Melstone ,1626958800,46.6,-107.87,2,240.33,0.01,1.48,40.41,0.01,12.08,22.84,4.24,,2021,7,22,13,0
491,Midvale,1626958800,48.89,-115.05,1,176.91,0.02,1.36,31.83,0.12,2.58,2.76,0.14,,2021,7,22,13,0
492,Miles  ,1626958800,46.41,-105.84,3,247.0,0.01,1.5,75.82,0.33,20.72,23.96,3.2,,2021,7,22,13,0
493,Missoula ,1626958800,46.87,-114.01,2,190.26,0.2,6.08,11.27,0.01,13.64,14.05,0.82,,2021,7,22,13,0
494,Montana ,1626958800,46.53,-111.94,2,250.34,0.01,4.2,46.49,0.03,15.95,16.38,1.33,,2021,7,22,13,0
495,Moore ,1626958800,46.98,-109.7,2,267.03,0.01,2.08,55.08,0.03,13.7,13.94,2.69,,2021,7,22,13,0
496,Muddy,1626958800,45.58,-106.78,2,253.68,0.01,1.16,57.22,0.26,15.37,16.76,3.17,,2021,7,22,13,0
497,Musselshell,1626958800,46.51,-108.09,2,240.33,0.01,2.27,35.05,0.02,10.6,15.07,4.94,,2021,7,22,13,0
498,Nashua ,1626958800,48.13,-106.36,2,211.95,0.01,1.3,63.66,0.25,11.55,12.47,2.69,,2021,7,22,13,0
499,Neihart ,1626958800,46.94,-110.74,2,226.97,0.01,0.98,43.63,0.01,11.18,11.64,0.2,,2021,7,22,13,0
500,Niarada,1626958800,47.83,-114.56,1,200.27,0.01,1.63,50.78,0.05,6.05,6.34,0.42,,2021,7,22,13,0
501,North Browning,1626958800,48.57,-113.02,2,180.24,0.0,0.51,89.41,0.15,2.18,2.41,0.36,,2021,7,22,13,0
502,Noxon,1626958800,47.98,-115.77,1,168.56,0.05,2.91,20.21,0.03,2.79,3.15,0.59,,2021,7,22,13,0
503,Old Agency,1626958800,47.32,-114.3,1,188.59,0.02,4.46,29.33,0.04,6.22,6.44,5.38,,2021,7,22,13,0
504,Olney,1626958800,48.55,-114.57,1,186.92,0.02,1.82,49.35,0.06,2.49,2.81,0.18,,2021,7,22,13,0
505,Opheim ,1626958800,48.86,-106.41,2,206.95,0.0,0.55,77.96,0.31,10.81,11.45,1.77,,2021,7,22,13,0
506,Orchard Homes,1626958800,46.86,-114.08,2,190.26,0.2,6.08,11.27,0.01,13.64,14.05,0.82,,2021,7,22,13,0
507,Outlook ,1626958800,48.89,-104.79,1,193.6,0.04,1.95,36.48,0.07,9.19,10.53,0.86,,2021,7,22,13,0
508,Ovando,1626958800,47.02,-113.17,2,166.89,0.01,0.52,16.45,0.01,13.79,14.14,0.55,,2021,7,22,13,0
509,Pablo,1626958800,47.6,-114.11,1,191.93,0.03,3.73,21.99,0.17,9.62,9.79,3.77,,2021,7,22,13,0
510,Paradise,1626958800,47.39,-114.8,1,150.2,0.35,4.37,4.34,0.01,5.75,5.89,0.26,,2021,7,22,13,0
511,Park ,1626958800,45.63,-108.92,2,243.66,0.02,4.03,26.46,0.02,10.62,11.29,7.22,,2021,7,22,13,0
512,Parker School,1626958800,48.25,-109.73,2,293.73,0.01,1.71,75.1,0.05,16.28,22.7,2.19,,2021,7,22,13,0
513,Philipsburg ,1626958800,46.33,-113.3,2,201.94,0.01,2.4,24.32,0.01,15.58,16.29,4.18,,2021,7,22,13,0
514,Piltzville,1626958800,46.86,-113.86,2,201.94,0.02,5.31,28.25,0.05,13.55,13.97,0.6,,2021,7,22,13,0
515,Pinesdale ,1626958800,46.33,-114.22,2,181.91,0.0,0.32,57.94,0.09,10.38,10.59,0.69,,2021,7,22,13,0
516,Pioneer Junction,1626958800,48.32,-115.52,1,168.56,0.08,3.0,16.09,0.03,2.64,2.98,0.34,,2021,7,22,13,0
517,Plains ,1626958800,47.46,-114.88,1,155.21,0.04,3.0,20.74,0.03,3.51,3.64,0.26,,2021,7,22,13,0
518,Plentywood ,1626958800,48.77,-104.56,2,193.6,0.06,2.44,31.11,0.98,10.42,12.46,0.88,,2021,7,22,13,0
519,Plevna ,1626958800,46.42,-104.52,2,226.97,0.02,1.54,59.37,0.68,13.19,15.17,2.91,,2021,7,22,13,0
520,Polson ,1626958800,47.69,-114.14,1,191.93,0.03,3.73,21.99,0.17,9.62,9.79,3.77,,2021,7,22,13,0
521,Ponderosa Pines,1626958800,46.04,-111.35,2,253.68,0.01,3.51,43.99,0.02,19.08,19.43,2.19,,2021,7,22,13,0
522,Pony,1626958800,45.66,-111.88,2,216.96,0.01,3.0,60.8,0.06,10.88,11.7,2.63,,2021,7,22,13,0
523,Poplar ,1626958800,48.11,-105.2,1,198.6,0.02,1.63,52.93,0.15,9.86,11.38,1.71,,2021,7,22,13,0
524,Power,1626958800,47.72,-111.69,2,233.65,0.01,2.51,42.92,0.03,12.65,13.01,2.88,,2021,7,22,13,0
525,Pray,1626958800,45.42,-110.65,2,183.58,0.04,3.09,18.6,0.01,12.22,12.96,2.53,,2021,7,22,13,0
526,Pryor,1626958800,45.41,-108.53,2,260.35,0.02,3.47,38.27,0.24,13.52,14.35,4.62,,2021,7,22,13,0
527,Rader Creek,1626958800,45.85,-112.32,2,223.64,0.02,3.98,38.98,0.02,14.16,14.72,0.21,,2021,7,22,13,0
528,Radersburg,1626958800,46.2,-111.63,2,186.92,0.02,2.38,20.92,0.02,14.5,14.89,1.9,,2021,7,22,13,0
529,Ravalli,1626958800,47.28,-114.17,2,206.95,0.03,5.83,23.96,0.03,10.97,11.25,6.52,,2021,7,22,13,0
530,Red Lodge ,1626958800,45.19,-109.25,3,263.69,0.0,0.91,88.69,0.08,20.83,22.22,2.5,,2021,7,22,13,0
531,Reed Point,1626958800,45.71,-109.55,2,213.62,0.14,6.26,13.23,0.01,11.44,12.13,5.83,,2021,7,22,13,0
532,Reserve,1626958800,48.6,-104.47,2,193.6,0.06,2.44,31.11,0.98,10.42,12.46,0.88,,2021,7,22,13,0
533,Rexford ,1626958800,48.9,-115.17,1,176.91,0.02,1.36,31.83,0.12,2.58,2.76,0.14,,2021,7,22,13,0
534,Richey ,1626958800,47.64,-105.07,2,196.93,0.01,0.93,62.23,0.35,10.57,12.69,1.9,,2021,7,22,13,0
535,Riverbend,1626958800,47.15,-114.83,1,156.88,0.06,2.64,18.06,0.02,4.23,4.39,0.17,,2021,7,22,13,0
536,Roberts,1626958800,45.34,-109.18,2,253.68,0.01,1.97,47.21,0.03,17.76,19.17,3.99,,2021,7,22,13,0
537,Rocky Boy West,1626958800,48.3,-109.99,2,267.03,0.0,1.35,80.11,0.06,12.2,16.05,1.74,,2021,7,22,13,0
538,Rocky Boy's Agency,1626958800,48.26,-109.76,2,293.73,0.01,1.71,75.1,0.05,16.28,22.7,2.19,,2021,7,22,13,0
539,Rocky Point,1626958800,47.73,-114.19,1,191.93,0.03,3.73,21.99,0.17,9.62,9.79,3.77,,2021,7,22,13,0
540,Rollins,1626958800,47.91,-114.19,1,195.27,0.04,3.68,23.25,0.22,7.84,8.03,0.88,,2021,7,22,13,0
541,Ronan ,1626958800,47.53,-114.1,1,191.93,0.01,2.79,33.62,0.06,6.21,6.37,2.79,,2021,7,22,13,0
542,Roscoe,1626958800,45.35,-109.49,2,223.64,0.0,1.06,41.49,0.02,17.11,18.26,1.73,,2021,7,22,13,0
543,Rosebud,1626958800,46.27,-106.45,4,273.71,0.01,1.84,61.51,0.06,26.09,30.19,3.74,,2021,7,22,13,0
544,Roundup ,1626958800,46.45,-108.54,1,230.31,0.01,1.93,32.9,0.03,7.03,8.19,3.9,,2021,7,22,13,0
545,Roy,1626958800,47.33,-108.96,2,253.68,0.01,1.09,56.51,0.03,11.78,12.19,2.95,,2021,7,22,13,0
546,Rudyard,1626958800,48.56,-110.55,2,226.97,0.0,0.84,84.4,0.11,8.44,9.65,1.24,,2021,7,22,13,0
547,Ryegate ,1626958800,46.3,-109.25,2,250.34,0.02,3.73,39.7,0.03,11.19,11.53,9.25,,2021,7,22,13,0
548,Saco ,1626958800,48.46,-107.34,3,257.02,0.01,1.32,69.38,0.28,23.22,29.18,2.82,,2021,7,22,13,0
549,Saddle Butte,1626958800,48.52,-109.65,2,277.04,0.01,1.41,78.68,0.05,13.19,17.85,2.0,,2021,7,22,13,0
550,Sand Coulee,1626958800,47.4,-111.17,2,290.39,0.01,2.04,47.92,0.02,19.3,19.61,2.98,,2021,7,22,13,0
551,Sangrey,1626958800,48.28,-109.82,2,267.03,0.0,1.35,80.11,0.06,12.2,16.05,1.74,,2021,7,22,13,0
552,Santa Rita,1626958800,48.7,-112.32,2,205.28,0.0,0.83,88.69,0.16,4.56,4.74,1.03,,2021,7,22,13,0
553,Scobey ,1626958800,48.79,-105.42,1,193.6,0.01,0.91,57.22,0.21,9.53,10.32,0.91,,2021,7,22,13,0
554,Sedan,1626958800,45.97,-110.89,2,200.27,0.0,0.85,33.26,0.01,11.36,11.88,1.06,,2021,7,22,13,0
555,Seeley Lake,1626958800,47.16,-113.45,2,176.91,0.01,1.03,20.74,0.01,12.88,13.14,0.09,,2021,7,22,13,0
556,Shawmut,1626958800,46.34,-109.51,1,240.33,0.01,2.14,36.84,0.01,9.78,10.15,4.12,,2021,7,22,13,0
557,Shelby ,1626958800,48.5,-111.86,2,210.29,0.0,0.7,85.83,0.14,7.68,7.88,0.87,,2021,7,22,13,0
558,Shepherd,1626958800,45.95,-108.35,2,273.71,0.11,9.85,24.32,0.81,12.28,12.83,7.28,,2021,7,22,13,0
559,Sheridan ,1626958800,45.46,-112.19,2,240.33,0.0,2.72,83.69,0.1,12.77,13.81,5.32,,2021,7,22,13,0
560,Sidney ,1626958800,47.71,-104.17,2,193.6,0.09,3.26,28.61,0.63,12.43,14.67,1.25,,2021,7,22,13,0
561,Silesia,1626958800,45.56,-108.84,2,223.64,0.09,3.98,11.8,0.01,14.75,15.63,4.31,,2021,7,22,13,0
562,Silver Gate,1626958800,45.02,-109.98,3,243.66,0.0,0.43,83.69,0.05,21.67,22.8,0.71,,2021,7,22,13,0
563,Simms,1626958800,47.49,-111.95,2,223.64,0.0,1.2,55.08,0.03,12.5,12.85,2.31,,2021,7,22,13,0
564,Somers,1626958800,48.08,-114.23,1,191.93,0.04,2.49,34.69,0.03,3.48,3.74,0.7,,2021,7,22,13,0
565,South Browning,1626958800,48.55,-113.01,2,180.24,0.0,0.51,89.41,0.15,2.18,2.41,0.36,,2021,7,22,13,0
566,South Glastonbury,1626958800,45.31,-110.81,2,178.58,0.0,0.46,31.11,0.01,12.66,13.64,0.5,,2021,7,22,13,0
567,South Hills,1626958800,46.56,-112.0,2,250.34,0.01,4.2,46.49,0.03,15.95,16.38,1.33,,2021,7,22,13,0
568,Spokane Creek,1626958800,46.53,-111.74,2,230.31,0.06,7.2,22.53,0.04,17.29,17.72,4.18,,2021,7,22,13,0
569,Springdale,1626958800,45.74,-110.22,2,206.95,0.16,7.11,11.62,0.01,10.6,11.15,6.46,,2021,7,22,13,0
570,Springhill,1626958800,45.88,-111.08,2,190.26,0.02,1.74,18.6,0.01,12.07,12.69,2.15,,2021,7,22,13,0
571,St. Ignatius ,1626958800,47.32,-114.1,2,206.95,0.03,5.83,23.96,0.03,10.97,11.25,6.52,,2021,7,22,13,0
572,St. Marie,1626958800,48.41,-106.5,2,210.29,0.01,0.81,69.38,0.29,11.15,11.85,2.09,,2021,7,22,13,0
573,St. Pierre,1626958800,48.24,-109.82,2,267.03,0.0,1.35,80.11,0.06,12.2,16.05,1.74,,2021,7,22,13,0
574,St. Regis,1626958800,47.3,-115.1,1,145.2,0.09,1.91,11.27,0.01,3.48,3.63,0.1,,2021,7,22,13,0
575,St. Xavier,1626958800,45.46,-107.73,2,226.97,0.03,2.29,20.21,0.01,14.13,15.26,9.5,,2021,7,22,13,0
576,Stanford ,1626958800,47.15,-110.22,2,270.37,0.0,0.71,86.55,0.04,12.5,12.98,1.27,,2021,7,22,13,0
577,Starr School,1626958800,48.6,-113.14,1,180.24,0.01,1.26,58.65,0.08,2.41,2.59,1.81,,2021,7,22,13,0
578,Stevensville ,1626958800,46.51,-114.09,2,180.24,0.0,0.83,47.21,0.07,11.41,11.7,0.64,,2021,7,22,13,0
579,Stockett,1626958800,47.35,-111.17,2,290.39,0.01,2.04,47.92,0.02,19.3,19.61,2.98,,2021,7,22,13,0
580,Stryker,1626958800,48.67,-114.77,1,196.93,0.01,1.26,75.1,0.1,2.45,2.84,0.21,,2021,7,22,13,0
581,Sula,1626958800,45.85,-113.96,2,193.6,0.01,1.5,18.95,0.01,16.25,16.81,0.31,,2021,7,22,13,0
582,Sun Prairie,1626958800,47.54,-111.49,2,233.65,0.03,3.77,27.9,0.02,14.65,14.98,3.45,,2021,7,22,13,0
583,Sun River,1626958800,47.53,-111.72,2,233.65,0.01,1.63,42.92,0.02,13.84,14.18,2.53,,2021,7,22,13,0
584,Sunburst ,1626958800,48.88,-111.91,2,196.93,0.01,0.8,80.82,0.14,4.29,4.47,1.6,,2021,7,22,13,0
585,Superior ,1626958800,47.19,-114.89,1,156.88,0.06,2.64,18.06,0.02,4.23,4.39,0.17,,2021,7,22,13,0
586,Swan Lake,1626958800,47.94,-113.8,2,146.87,0.04,1.08,10.01,0.0,10.17,10.43,0.22,,2021,7,22,13,0
587,Sweet Grass,1626958800,48.99,-111.97,2,196.93,0.01,0.8,80.82,0.14,4.29,4.47,1.6,,2021,7,22,13,0
588,Sylvanite,1626958800,48.71,-115.87,1,175.24,0.02,2.1,30.04,0.06,3.1,3.48,0.1,,2021,7,22,13,0
589,Terry ,1626958800,46.79,-105.31,2,226.97,0.03,2.25,62.23,0.14,13.77,14.59,3.33,,2021,7,22,13,0
590,The Silos,1626958800,46.4,-111.59,2,257.02,0.01,4.07,47.21,0.06,18.35,18.77,2.57,,2021,7,22,13,0
591,Thompson Falls ,1626958800,47.6,-115.34,1,151.87,0.04,2.72,19.85,0.03,2.79,2.99,0.27,,2021,7,22,13,0
592,Three Forks ,1626958800,45.89,-111.55,2,253.68,0.02,4.63,31.47,0.02,17.06,17.5,5.19,,2021,7,22,13,0
593,Toston,1626958800,46.17,-111.45,2,243.66,0.02,3.9,31.47,0.03,17.88,18.21,4.43,,2021,7,22,13,0
594,send ,1626958800,46.32,-111.52,2,257.02,0.01,4.07,47.21,0.06,18.35,18.77,2.57,,2021,7,22,13,0
595,Trego,1626958800,48.66,-114.93,1,185.25,0.03,2.83,36.48,0.04,2.58,2.79,0.15,,2021,7,22,13,0
596,Trout Creek,1626958800,47.83,-115.58,1,175.24,0.01,1.56,33.26,0.04,2.81,3.15,0.39,,2021,7,22,13,0
597,Troy ,1626958800,48.46,-115.89,1,178.58,0.02,2.14,26.82,0.06,3.03,3.44,0.13,,2021,7,22,13,0
598,Turah,1626958800,46.84,-113.83,2,201.94,0.02,5.31,28.25,0.05,13.55,13.97,0.6,,2021,7,22,13,0
599,Turner,1626958800,48.85,-108.4,3,283.72,0.01,1.41,47.21,0.02,22.7,23.26,5.19,,2021,7,22,13,0
