,City,Date,lat,lon,AQI,CO,NO,NO2,O3,SO2,PM25,PM10,NH3,Population,Year,Month,Day,Hour,Minute
118,Hayden,1626958800,40.485,-107.2392,1,175.24,0.03,1.84,12.34,0.1,3.83,4.21,0.77,"1,979",2021,7,22,13,0
119,Hillrose,1626958800,40.3244,-103.5222,1,205.28,0.09,4.67,35.05,0.04,8.27,8.95,5.13,260,2021,7,22,13,0
120,Holly,1626958800,38.0553,-102.1247,1,208.62,0.01,0.78,69.38,0.17,6.11,6.18,2.03,774,2021,7,22,13,0
121,Holyoke,1626958800,40.5819,-102.2975,1,200.27,0.02,1.08,67.23,0.21,6.34,6.43,2.41,"2,208",2021,7,22,13,0
122,Hooper,1626958800,37.7461,-105.8778,1,146.87,0.27,2.79,2.62,0.01,5.6,5.86,3.2,100,2021,7,22,13,0
123,Hot Sulphur Springs,1626958800,40.075,-106.1031,1,136.85,0.26,2.53,1.88,0.0,3.54,3.8,0.09,733,2021,7,22,13,0
124,Hotchkiss,1626958800,38.7989,-107.7133,1,171.9,0.01,1.48,12.34,0.01,3.07,3.37,1.76,928,2021,7,22,13,0
125,Hudson,1626958800,40.09,-104.6208,1,226.97,0.28,7.37,6.71,0.06,6.3,7.17,3.96,"2,767",2021,7,22,13,0
126,Hugo,1626958800,39.1361,-103.4731,1,186.92,0.03,2.21,48.64,0.08,6.36,8.79,2.41,777,2021,7,22,13,0
127,Idaho Springs,1626958800,39.7444,-105.5,1,210.29,0.01,1.02,48.64,0.11,8.62,9.07,0.13,"1,786",2021,7,22,13,0
128,Ignacio,1626958800,37.1181,-107.6375,1,171.9,0.09,2.27,7.69,0.02,3.47,4.07,0.5,908,2021,7,22,13,0
129,Iliff,1626958800,40.7592,-103.0661,1,200.27,0.19,4.54,27.18,0.04,8.6,9.29,4.75,268,2021,7,22,13,0
130,Jamestown,1626958800,40.1183,-105.3917,1,216.96,0.01,0.68,41.49,0.09,3.98,4.34,0.21,249,2021,7,22,13,0
131,Johnstown,1626958800,40.3497,-104.9483,1,216.96,0.26,6.94,14.31,0.21,4.79,5.43,2.09,"15,198",2021,7,22,13,0
132,Julesburg,1626958800,40.985,-102.2628,1,200.27,0.03,1.76,60.8,0.14,6.16,6.27,2.22,"1,152",2021,7,22,13,0
133,Keenesburg,1626958800,40.1328,-104.5381,2,313.76,0.83,15.08,4.65,0.12,15.33,17.1,5.07,"1,237",2021,7,22,13,0
134,Kersey,1626958800,40.3908,-104.5794,2,267.03,0.77,9.25,5.63,0.05,10.78,12.83,5.83,"1,681",2021,7,22,13,0
135,Kim,1626958800,37.2469,-103.3533,1,191.93,0.01,0.68,65.09,0.05,5.56,6.32,1.93,70,2021,7,22,13,0
136,Kiowa,1626958800,39.3436,-104.4578,2,223.64,0.01,1.89,60.08,0.25,11.29,11.9,0.93,761,2021,7,22,13,0
137,Kit Carson,1626958800,38.7628,-102.7953,1,198.6,0.01,0.96,68.67,0.32,6.85,7.06,1.68,231,2021,7,22,13,0
138,Kremmling,1626958800,40.0567,-106.3783,1,198.6,0.0,1.15,35.41,0.06,1.69,1.86,0.29,"1,524",2021,7,22,13,0
139,La Jara,1626958800,37.2736,-105.9597,1,161.89,0.14,3.51,6.26,0.02,6.06,6.29,4.69,817,2021,7,22,13,0
140,La Junta,1626958800,37.9792,-103.5472,2,205.28,0.06,3.64,39.34,0.18,10.29,21.2,3.2,"6,881",2021,7,22,13,0
141,La Veta,1626958800,37.5086,-105.0086,1,190.26,0.01,1.18,41.49,0.03,5.77,6.19,0.5,811,2021,7,22,13,0
142,Lafayette,1626958800,39.9947,-105.0997,1,240.33,0.22,6.86,18.06,0.15,5.28,5.86,0.78,"30,687",2021,7,22,13,0
143,Lake City,1626958800,38.03,-107.3106,1,170.23,0.01,0.43,18.42,0.02,3.59,3.74,0.15,394,2021,7,22,13,0
144,Lakeside,1626958800,39.7803,-105.0578,1,230.31,0.05,3.81,40.05,0.18,8.59,9.23,0.44,8,2021,7,22,13,0
145,Lakewood,1626958800,39.6978,-105.1172,1,230.31,0.05,3.81,40.05,0.18,8.59,9.23,0.44,"157,935",2021,7,22,13,0
146,Lamar,1626958800,38.0739,-102.6153,1,190.26,0.01,1.19,63.66,0.11,6.41,8.02,2.0,"7,655",2021,7,22,13,0
147,Larkspur,1626958800,39.2319,-104.8922,2,226.97,0.02,1.35,23.25,0.06,16.19,16.57,0.47,212,2021,7,22,13,0
148,Las Animas,1626958800,38.0694,-103.2236,1,196.93,0.01,1.27,58.65,0.05,7.85,16.62,2.25,"2,165",2021,7,22,13,0
149,LaSalle,1626958800,40.3483,-104.7061,1,240.33,0.3,7.28,11.62,0.14,8.3,9.01,3.86,"2,342",2021,7,22,13,0
150,Leadville,1626958800,39.2472,-106.2933,1,173.57,0.12,4.5,23.25,0.16,8.1,8.44,1.38,"2,868",2021,7,22,13,0
151,Limon,1626958800,39.2653,-103.6856,1,186.92,0.02,1.56,54.36,0.09,6.22,11.73,2.09,"1,952",2021,7,22,13,0
152,Littleton,1626958800,39.5914,-105.0189,2,220.3,0.15,3.77,25.39,0.11,12.71,13.38,0.44,"48,065",2021,7,22,13,0
153,Lochbuie,1626958800,40.0117,-104.7272,1,226.97,0.28,7.37,6.71,0.06,6.3,7.17,3.96,"7,304",2021,7,22,13,0
154,Log Lane Village,1626958800,40.2697,-103.8289,2,270.37,0.1,5.44,31.11,0.19,18.35,19.35,4.43,849,2021,7,22,13,0
155,Lone Tree,1626958800,39.5308,-104.8708,2,280.38,2.65,12.34,6.44,0.6,14.46,15.17,0.92,"13,082",2021,7,22,13,0
156,Longmont,1626958800,40.1686,-105.1006,1,220.3,0.05,3.47,23.6,0.05,3.06,3.46,0.81,"97,261",2021,7,22,13,0
157,Louisville,1626958800,39.9711,-105.1442,1,240.33,0.22,6.86,18.06,0.15,5.28,5.86,0.78,"20,816",2021,7,22,13,0
158,Loveland,1626958800,40.4167,-105.0622,1,185.25,0.14,2.72,13.95,0.08,4.08,4.57,1.49,"78,877",2021,7,22,13,0
159,Lyons,1626958800,40.2231,-105.2692,1,186.92,0.04,1.63,18.6,0.02,3.5,3.89,0.22,"2,189",2021,7,22,13,0
160,Manassa,1626958800,37.1739,-105.9372,1,165.22,0.08,1.52,7.51,0.01,5.89,6.1,1.08,"1,001",2021,7,22,13,0
161,Mancos,1626958800,37.3467,-108.2939,1,196.93,0.01,1.07,33.62,0.09,4.01,4.48,0.58,"1,430",2021,7,22,13,0
162,Manitou Springs,1626958800,38.8575,-104.9128,2,210.29,0.01,1.16,39.34,0.12,14.09,14.76,0.45,"5,390",2021,7,22,13,0
163,Manzanola,1626958800,38.1089,-103.8667,2,198.6,0.01,1.37,55.08,0.05,10.08,29.21,2.69,417,2021,7,22,13,0
